TID	Name	RA (longitude)	Dec (latitude)
44	V* V1800 Cyg                       	315.7667081371744	+37.8083122746803
45	V* V1804 Cyg                       	316.8741248866116	+37.1791864722906
46	[D75] 123                          	316.6384128666814	+37.5474361752027
47	V* V1060 Cyg                       	316.9257645288974	+37.2357780694772
48	V* V2485 Cyg                       	318.9051190048458	+38.0410211910018
49	Mis V0374                          	315.6429431181463	+38.2085156696461
50	NSV 13550                          	316.74733	+37.80050
51	NSV 13555                          	316.97850	+38.82486
52	NSV 13589                          	317.7967174651611	+37.8718418591879
53	NSV 13591                          	317.8519409141043	+37.5841355918945
54	NSV 13607                          	318.2843793136505	+38.6669481945852
55	NSV 13659                          	319.8255429494322	+37.9894461961336
56	NSV 25502                          	317.6313560954690	+36.6964122359481
57	NSV 25531                          	318.7721964145414	+38.6428578770191
58	NSV 25532                          	318.7739969298332	+38.6507727461107
59	V* V2484 Cyg                       	318.8455187598779	+38.0678099112469
60	NSV 25539                          	319.1917	+37.9028
61	V* DU Cyg                          	318.1788771173675	+36.7382621125950
62	NSV 13654                          	319.7861049352918	+38.2787010773831
63	NSV 25438                          	315.6750	+37.8333
64	NSV 25476                          	316.5250	+37.6667
65	NSV 25527                          	318.6000	+37.0167
66	HD 203732                          	320.7432684577988	+38.3024656840136
67	V* V1333 Cyg                       	319.7393814837021	+39.0605491008373
68	V* V1236 Cyg                       	319.0885076392525	+39.1050712381211
69	BD+38 4509                         	322.3567484697941	+38.6528790836604
70	V* V1811 Cyg                       	322.2165913054300	+39.1789791418822
71	NSV 25614                          	322.2000	+39.2167
72	V* V1812 Cyg                       	322.6695494826464	+38.8506360591516
73	V* V1935 Cyg                       	321.7547505622441	+38.4260667112538
74	V* V1936 Cyg                       	322.1245583857202	+38.9346594054511
75	V* V1937 Cyg                       	322.9741349952746	+39.4998149698129
76	V* V473 Cyg                        	321.1844313995060	+38.0993981299909
77	V* V1961 Cyg                       	321.1320459982226	+39.9554670373181
78	V* V2487 Cyg                       	319.7111012475109	+39.9034566467150
79	[WWV2004] J2127296+391714          	321.8738682479212	+39.2864061302740
80	V* V2072 Cyg                       	322.8124259815989	+38.7756243228364
81	V* V1239 Cyg                       	319.9387331978575	+38.3659618906305
82	V* V1903 Cyg                       	320.2511690349190	+38.2308718501942
83	V* V1556 Cyg                       	319.5318001492127	+39.2920685814351
84	NSV 13652                          	319.6636128629029	+39.1456030496496
85	NSV 13661                          	319.8556832796597	+39.2385050820130
86	V* V1334 Cyg                       	319.8424051929872	+38.2374631634801
87	V* V632 Cyg                        	324.0175628287710	+40.4387195029737
88	V* V630 Cyg                        	323.7465849813673	+40.6718138669375
89	V* V614 Cyg                        	322.6679384747873	+40.9396701125010
90	V* V610 Cyg                        	322.2802867712898	+40.6697390499064
91	V* V706 Cyg                        	323.9832763389586	+40.8467571701086
92	V* V1338 Cyg                       	323.7691719447662	+40.8570216781230
93	L 1578-44                          	324.1607522636758	+39.4556940391258
94	V* V1962 Cyg                       	324.7937453149987	+40.7143658738772
95	IRAS 21368+4018                    	324.7137821584701	+40.5395019553925
96	V* V1614 Cyg                       	322.8688771532407	+40.9751315002699
97	NSV 25686                          	323.7708	+39.9483
98	V* V837 Cyg                        	322.0283526908236	+39.9381853841260
99	LEE 228                            	323.5311664365821	+39.0710818688605
100	V* V1907 Cyg                       	322.8112928067036	+39.4498122254408
101	V* V1938 Cyg                       	323.1565192830191	+39.6681714821665
102	IRAS 21310+3852                    	323.2527740603474	+39.0881722029950
103	V* V2253 Cyg                       	323.2092994160478	+39.3688933515056
104	BD+38 4585                         	325.7357460531582	+39.5856314839808
105	NSV 25598                          	321.4824264698040	+40.2958317345049
106	EQ 2130+3838                       	323.5000	+39.0833
107	HD 206749                          	325.7769613590821	+41.1549717173506
108	V* V652 Cyg                        	325.7087250325764	+41.9919724334144
109	V* V647 Cyg                        	325.2608602013480	+41.8167392721783
110	V* V1940 Cyg                       	326.4220312283787	+40.2964664077637
111	V* V668 Cyg                        	327.4869077513329	+40.9422654264655
112	V* V664 Cyg                        	327.1406074225168	+40.9767589540271
113	V* V663 Cyg                        	327.1313178198213	+42.0921137142427
114	V* V661 Cyg                        	327.0439300098818	+41.3971068206142
115	V* V660 Cyg                        	327.0477688316543	+41.0446653580706
116	V* V2210 Cyg                       	327.3735756137267	+41.6252912768088
117	TYC 3191-576-1                     	324.7074415260481	+41.7027691576741
118	V* V640 Cyg                        	324.8200490564642	+41.2255460489765
119	BD+41 4248                         	325.9777481175129	+42.1012046390346
120	BC 32                              	325.7450543125307	+41.9313330751685
121	NSV 13813                          	324.4208	+41.7550
122	V* V2207 Cyg                       	324.7367787277031	+41.7199142809530
123	BD+42 4234                         	328.0274091564447	+42.7405675711714
124	V* BI Lac                          	330.2042830945720	+42.7608900465799
125	V* V670 Cyg                        	327.5795335848351	+42.7726097605073
126	V* GT Cyg                          	327.6817445525775	+42.9031489879294
127	V* CS Lac                          	329.9280298523976	+42.5710193206195
128	V* V371 Lac                        	337.6846489199220	+47.2994213391851
129	V* V1915 Cyg                       	329.3606091883795	+42.9718271593020
130	V* V1917 Cyg                       	329.3789483480634	+43.3490553298205
131	V* V1941 Cyg                       	328.9914764251795	+43.0473753906300
132	V* V351 Lac                        	330.2006460092723	+42.5119879396175
133	V* ET Lac                          	329.7762108657373	+41.0655516015748
134	V* DL Lac                          	329.6548513433406	+41.7735285226652
135	V* V1096 Cyg                       	328.9674458627122	+41.5962988751085
136	IRAS 21515+4150                    	328.3750445938670	+42.0781062880214
137	IRAS 22035+4112                    	331.4185604928399	+41.4607401852957
138	HIP 108776                         	330.5243287489019	+42.3796677003133
139	V* V658 Cyg                        	326.9184334889754	+42.7287845918732
140	KPD 2154+4048                      	329.0760302833332	+41.0459136333368
141	SN 2004gf                          	329.46829	+42.31606
142	NAME BL Lac                        	330.6803807390523	+42.2777717827390
143	V* V460 Lac                        	330.6157474650511	+42.3008356584793
144	HD 210208                          	331.9540539673323	+42.9532541603186
145	V* BK Lac                          	330.5821658186729	+43.5789335338948
146	V* GN Lac                          	331.7145491359124	+43.3824828195008
147	V* EL Lac                          	332.2238822072430	+42.2724908639755
148	V* BO Lac                          	333.7363139494871	+42.3455875416598
149	V* V369 Lac                        	333.8259766849203	+44.0973599952730
150	V* V381 Lac                        	333.9953244434627	+42.3795855811119
151	IRAS 22069+4305                    	332.2545040026428	+43.3315455095243
152	IRAS 22113+4210                    	333.3608219848267	+42.4187837540297
153	IRAS 22010+4229                    	330.7735215128469	+42.7353994085829
154	BD+41 4360                         	330.8106990323222	+42.5664044719789
155	V* V352 Lac                        	330.2984649248746	+43.1256097405648
156	V* BS Lac                          	334.9053139815871	+44.2841992703927
157	HD 211405                          	333.95250648	+43.90075714
158	Case 749                           	334.6599328373109	+43.7790293373821
159	V* V367 Lac                        	334.6683571592773	+43.7429816102228
160	V* V448 Lac                        	336.1309517532626	+43.7197153288487
161	[D75] 150                          	334.0809646628175	+44.2800703626406
162	V* UW Lac                          	335.1657537341384	+42.4079916174312
163	V* RY Lac                          	333.0647611887715	+43.8344263338734
164	V* RS Lac                          	333.2188359163503	+43.7502156082201
165	V* V456 Lac                        	333.4581511967390	+43.9107173913367
166	SN 2001iq                          	336.29342	+42.71783
167	V* GU Lac                          	338.6465147927632	+45.0708342119000
168	V* FZ Lac                          	338.7197336502537	+45.0858947672852
169	V* FY Lac                          	338.1479459757462	+45.5295206688014
170	IRC +40509                         	336.7157934140893	+44.7533101520860
171	IRAS 22322+4412                    	338.5997285252274	+44.4687342750337
172	IRAS 22339+4332                    	339.0222426361863	+43.8018537264103
173	IRAS 22340+4303                    	339.0678042285690	+43.3268913007799
174	GSC 03212-00933                    	337.0544128085177	+44.4645567892904
175	IRAS 22213+4433                    	335.8623828565632	+44.8106320815326
176	V* V430 Lac                        	336.7099101727696	+44.6869759347530
177	V* V433 Lac                        	338.6278628672416	+44.2764617665457
178	HD 215325                          	340.9012961928676	+44.7505411844501
179	HD 215566                          	341.3520056962620	+44.7524326643028
180	HD 215664                          	341.5425908074033	+44.5460539598903
181	V* CI Lac                          	341.3597775481694	+45.3608904664931
182	HD 216108                          	342.3681321013060	+43.8435330101515
183	V* ST Lac                          	340.8225425478454	+43.6747436007185
184	V* V374 Lac                        	341.02146	+43.75906
185	IRAS 22409+4338                    	340.7958607180755	+43.9171615443745
186	V* EV Lac                          	341.7072132253419	+44.3339922842305
187	HD 214261                          	339.0699625030874	+45.4461179264268
188	HD 214608                          	339.69779779	+44.31389772
189	V* BC Lac                          	339.2498271943725	+45.0321140007133
190	V* V419 Lac                        	340.4238770900025	+44.0016562782386
191	V* CE Lac                          	340.9369932119097	+43.4334167551958
192	V* V358 Lac                        	341.9430873047954	+43.7329523851414
193	NSV 14286                          	340.7502254437022	+44.5886121190492
194	AN 198.1940                        	340.0500	+46.0333
195	V* BO And                          	344.6583	+45.5311
196	IRAS 22536+4520                    	343.9759916850275	+45.6031906300774
197	V* VY Lac                          	342.4963776952517	+45.0044418020815
198	IRAS 22457+4543                    	342.0006943944233	+45.9993777279045
199	V* V458 Lac                        	342.2327848708121	+45.7522829413858
200	NSV 25986                          	344.8195354132103	+45.5330945090669
201	V* V379 And                        	346.6373393232543	+46.9236135465650
202	V* BC And                          	345.2211421923635	+46.5105897616333
203	V* VY And                          	345.4561063050608	+45.8858637389280
204	IRAS 23002+4633                    	345.6380788707646	+46.8301136537930
205	NSV 14439                          	347.3544077409978	+46.8900452909403
206	V* EU And                          	349.9953395925343	+47.2429378820548
207	V* AO And                          	349.4983630669453	+46.7534281664163
208	BD+44 4374                         	349.6555139678180	+45.4254118185084
209	BD+44 4381                         	349.9391967292727	+44.8249179367395
210	V* EV And                          	350.8091593822189	+45.4163852679291
211	V* ET And                          	349.4833799362102	+45.4889221296278
212	BD+44 4362                         	348.9387126663580	+45.1343887987551
213	V* TT And                          	348.3454267465191	+46.1475220112772
214	V* V462 And                        	349.8856570504545	+45.9255469541720
215	SV* WR 149                         	350.0250	+46.7500
216	SV* P 5735                         	349.8000	+46.7667
217	V* KQ And                          	352.6812451256378	+46.1530339895946
218	V* V390 And                        	353.2353404727133	+46.1236812028347
219	V* V339 And                        	353.5319539451941	+46.3339609441144
220	V* V662 And                        	352.1145753559197	+45.3778558457692
221	V* AL And                          	351.6773761173405	+45.2490908664516
222	V* V338 And                        	351.4237923732770	+45.7012903643535
223	V* LO And                          	351.7778555997559	+45.5561162405524
224	TYC 3637-1152-1                    	352.6552229558402	+46.4011889468139
225	V* V464 And                        	351.0075688619905	+46.8701363896438
226	V* AS And                          	354.7574578737515	+47.2468382934100
227	HD 222555                          	355.3343149870031	+46.8600527733683
228	V* KS And                          	356.2718645715445	+46.9251737561355
229	HD 223229                          	356.88770583	+46.83256050
230	HD 222900                          	356.1339273957854	+46.3801579543917
231	V* WY And                          	355.3737012590196	+47.5955077326220
232	V* WW And                          	356.2231122220105	+45.6865130206679
233	V* GG And                          	354.3325813461580	+47.1078332268025
234	HD 222143                          	354.4936990946957	+46.1994339441213
235	* lam And                          	354.3910108808	+46.4581494400
236	HD 222641                          	355.5611113431462	+44.9917144496348
237	V* V396 And                        	357.8893321534292	+47.4877684333648
238	V* PV And                          	358.9080915532039	+46.3582932138258
239	BD+45 4378                         	359.6812006710607	+46.7290936826221
240	HD 224559                          	359.6934962583490	+46.4131785339270
241	V* AW And                          	358.9010804349121	+45.3432838269747
242	V* TZ And                          	357.7158071020891	+47.5079062111483
243	V* GL And                          	358.7404903224914	+45.3934888279754
244	V* GK And                          	358.4466660118573	+45.5793904120494
245	V* V412 And                        	358.4124968875843	+45.6228544026249
246	SN 1998cu                          	359.80396	+46.87550
247	V* AP And                          	357.3779557973455	+45.7892418516405
248	NSV 14729                          	357.8955291064619	+45.5240181852799
249	NSV 26152                          	357.57033	+46.98942
250	BD+45 4361                         	358.9000	+46.7500
251	AN 510.1934                        	358.6750	+46.2800
252	AN 511.1934                        	358.8292	+46.3317
253	V* V465 And                        	358.3161437458144	+46.8850405707145
254	V* V342 And                        	002.5133037	+46.3903136
255	V* CG And                          	000.1818108260170	+45.2533339509215
256	BD+46 30                           	003.6583	+46.8817
257	V* X And                           	004.0399670767809	+47.0123542437346
258	V* BB And                          	004.4331385872306	+45.1477968220746
259	V* V456 And                        	003.4693709639778	+45.4427042454056
260	V* V352 And                        	007.2964322269410	+44.9950572736677
261	* pi. Cas                          	010.8669534470021	+47.0245490440666
262	V* EF And                          	009.9327853878370	+46.5556929909067
263	HD 4134                            	011.04693303	+46.23555807
264	V* FG And                          	011.0498372381690	+45.0604285780038
265	V* BZ And                          	009.4072680108819	+45.6042537475884
266	[TC96] 4                           	010.7396	+47.1936
267	V* LZ Cas                          	009.3465818810760	+46.7685333601437
268	V* V403 And                        	009.7205793957976	+45.5638045438455
269	SN 2001dz                          	011.17979	+45.41956
270	AN 392.1934                        	011.6250	+46.2000
271	V* V457 And                        	011.4258429158305	+46.1994037227556
272	HD 5006                            	013.1583550049387	+45.1333987504044
273	V* GO And                          	012.5761067986307	+45.0022621978965
274	V* V415 And                        	012.6803620385534	+46.5084864236035
275	V* HK And                          	011.6329972612641	+45.0962775633181
276	2MASS J00540924+4621486            	013.5385050613777	+46.3634951764409
277	IRC +50024                         	015.8030767111779	+45.8684335611531
278	V* EI And                          	016.8598432620917	+45.6094268380349
279	V* V416 And                        	017.6267963024523	+45.1032151756793
280	HD 6201                            	015.9222270462386	+44.0663819676573
281	V* HM And                          	016.2213560489365	+45.0270961940816
282	V* IY And                          	015.7181032121969	+45.1897007372266
283	V* DQ And                          	014.8936407836153	+45.4067219952508
284	V* EL And                          	021.6164333262343	+44.9369697739091
285	V* CD And                          	021.6181653277752	+44.3569603825111
286	V* CH And                          	024.0440404686974	+44.8748932123981
287	V* EN And                          	022.1755843504984	+43.5383319536923
288	V* HN And                          	021.0778177655219	+43.1421192507213
289	IRAS 01259+4251                    	022.2305164904572	+43.1172120584624
290	V* EP And                          	025.6222422492382	+44.7617932192516
291	IRAS 01337+4236                    	024.1696461509017	+42.8550280271720
292	V* V542 And                        	025.1199132957735	+42.2002483018343
293	V* CI And                          	028.7845573339447	+43.7656921017073
294	V* V434 And                        	028.3365782217159	+44.1281094163029
295	SV* SVS 165                        	029.0837471511711	+42.2866413678086
296	V* V546 And                        	027.8023572851240	+43.8188088669202
297	IRAS 01592+4103                    	030.5768533426295	+41.3014699332231
298	1RXS J020915.0+420223              	032.3129	+42.0397
299	V* XZ And                          	029.2146844662393	+42.1006059178051
300	NSV 670                            	029.1458521600743	+41.3963150582035
301	V* V450 And                        	033.2291261229308	+40.6683950750534
302	HD 13531                           	033.3055621225579	+40.5075882754962
303	V* BX And                          	032.2642552406109	+40.7942126085543
304	SN 1961C                           	033.85475	+41.11381
305	V* KV And                          	034.30754	+40.69189
306	V* LV And                          	034.8600001875507	+41.7657381047854
307	BD+40 430                          	031.1795173554507	+40.7053496920166
308	V* AH And                          	031.4774490324636	+40.7240469136123
309	V* AV And                          	032.8688229641229	+40.2160546447729
310	SN 2004eu                          	035.14525	+41.57181
311	V* V572 And                        	035.56833	+41.38331
312	V* V568 And                        	033.2726197863431	+40.8253180711774
313	V* DU And                          	037.6306876402510	+40.8426295431021
314	V* LZ And                          	035.6599916598709	+40.5337523811900
315	V* MR And                          	036.3658878428924	+40.9571442526648
316	V* MV And                          	037.5467379914663	+40.8837641646465
317	BD+39 539                          	036.1701359011754	+40.1397438836966
318	V* MO And                          	035.9736152571073	+39.9841020293581
319	V* MS And                          	036.4454126494436	+39.9792224520593
320	V* MT And                          	036.7701737398153	+40.0578025722233
321	V* MU And                          	037.3602237620188	+39.5289993015445
322	V* MW And                          	037.8707141692542	+39.6886111207219
323	V* PQ And                          	037.3731978783455	+40.0443935391176
324	SN 1996bz                          	037.85054	+39.73092
325	CRTS J022330.7+400449              	035.8781821569729	+40.0803943891992
326	V* LX And                          	034.9337082377727	+40.4562038794123
327	V* MP And                          	036.0571786201545	+41.3296354230376
328	[KMW82] 5                          	035.3916194417764	+40.6685510678187
329	GD 25                              	034.0681321326669	+39.8570590081098
330	IRAS 02216+3901                    	036.2007214239925	+39.2625658815526
331	[KMW82] 4                          	035.3792	+39.3833
332	[KMW82] 15                         	036.35750	+39.04867
333	SN 1962R                           	035.3754	+39.3806
334	SN 2002gx                          	037.93621	+40.27764
335	HD 16496                           	040.0080418080901	+39.8347166203003
336	HD 16209                           	039.3077979708088	+38.9765584622071
337	V* UY And                          	039.5991064920505	+39.1694259813731
338	V* V560 Per                        	040.4133461076169	+39.5379201593415
339	HD 16834                           	040.8112864288193	+39.3662209195351
340	HD 16760B                          	040.5872912418726	+38.6225424402340
341	SN 1996bs                          	041.19292	+39.49069
342	V* V377 And                        	039.0787191938948	+40.2048395564690
343	SN 1973P                           	037.8958	+39.3883
344	[KMW82] 25                         	038.0833	+39.6783
345	V* GU And                          	038.6310938478635	+40.0683952369919
346	SN 1966M                           	039.2750	+38.1483
347	SN 1999gp                          	037.91312	+39.38119
348	BD+38 526                          	039.7226828775850	+38.9858144015875
349	SN 2003hc                          	037.92517	+39.36819
350	SN 1985U                           	036.42483	+39.58644
351	* 16 Per                           	042.6460824479	+38.3186411175
352	* 20 Per                           	043.42755351	+38.33748699
353	V* IN Per                          	042.6827676161448	+38.5639458785638
354	V* V448 Per                        	043.0127969117190	+38.4793177405191
355	V* V442 Per                        	041.2396687638100	+38.2585491867852
356	BD+36 587                          	043.2556008749037	+37.5059053339138
357	BD+36 590                          	043.5589858595029	+37.3774280335789
358	V* PY Per                          	042.5006152751785	+37.6561659420031
359	V* PV Per                          	040.7225143872197	+38.0675830588099
360	V* LS Per                          	044.2866405086141	+37.8945771512934
361	NSV 932                            	042.1500	+38.0333
362	SN 1963L                           	041.97308	+37.53131
363	V* V483 Per                        	042.8936688198108	+37.8365327309275
364	V* AI Per                          	042.2420342021313	+37.7410265967006
365	V* V443 Per                        	041.6761500675702	+37.2970133747417
366	SN 1961V                           	040.90175	+37.34544
367	SN 1969L                           	040.9375	+37.3117
368	NGC 1058                           	040.8751030180145	+37.3413354842991
369	NSV 923                            	041.9515259213524	+36.9620091090721
370	V* V372 Per                        	044.16525	+37.13986
371	V* V370 Per                        	043.6034202941931	+36.6666177551214
372	HD 18900                           	045.8985194260425	+36.4420049754264
373	V* QS Per                          	046.2559350396478	+36.4124275405551
374	V* V453 Per                        	046.5302385237256	+36.6680996126524
375	DO 9709                            	046.1426249729511	+35.8617228348014
376	V* PZ Per                          	043.1074697577234	+36.6916180812248
377	V* V875 Per                        	043.0733167873905	+36.2800606995776
378	SV* SVS 1985                       	045.0804247902516	+36.8049263595075
379	SN 2003hw                          	045.45842	+35.74344
380	SN 2005ek                          	046.45400	+36.76961
381	V* V1792 Cyg                       	312.8789161830239	+37.9894896661704
382	V* V1056 Cyg                       	312.6272920353620	+37.0695507865074
383	V* DR Cyg                          	310.9208558911589	+38.1656208952968
384	EGGR 261                           	312.2779157631769	+37.4705699457968
385	IRAS 20409+3722                    	310.7245439573135	+37.5612731089255
386	IRAS 20491+3738                    	312.7815626604015	+37.8358732495346
387	[MS84] 17                          	311.3585259410697	+37.7591006943679
388	GSC 03166-01801                    	312.1053134074422	+37.7587429659924
389	V* V1861 Cyg                       	312.2727728671923	+37.4582562670690
390	V* V1863 Cyg                       	312.4101473492672	+37.2133398932458
391	IRC +40454                         	312.5207447756649	+37.4999307911792
392	V* V2197 Cyg                       	312.5680277876810	+37.9459085039971
393	V* V1868 Cyg                       	312.8097495264786	+36.8922405599516
394	IRAS 20496+3645                    	312.8904	+36.9508
395	V* V1878 Cyg                       	313.2521093861189	+38.1827782293868
396	V* V1879 Cyg                       	313.4586575338166	+37.2593999228086
397	V* V1882 Cyg                       	313.8316602149091	+37.7804761085898
398	V* FF Cyg                          	309.7154430169054	+37.8897824197381
399	V* LM Cyg                          	310.5213855945314	+37.2865645089062
400	[MS84] 12                          	311.0629	+37.0922
401	GSC 02699-01426                    	311.4631287805984	+36.9960665206572
402	Case 641                           	311.5295236896913	+36.9481661435700
403	V* V1854 Cyg                       	312.0590899266127	+36.8768863234493
404	[MS84] 44                          	312.1432181653853	+36.7489220781315
405	NSV 25407                          	314.33946	+37.92203
406	IRC +40460                         	315.4909097543795	+40.4428661651487
407	BD+39 4385                         	314.4338950568579	+40.1165233348165
408	V* V1221 Cyg                       	315.2617426642135	+39.5470324306765
409	V* V830 Cyg                        	314.3647929806481	+39.4072606761398
410	V* VX Cyg                          	314.3367911475052	+40.1775023556572
411	V* V2145 Cyg                       	315.7085150615664	+38.5706852954550
412	V* V1228 Cyg                       	317.2388084833340	+39.2920025641160
413	V* V833 Cyg                        	316.0971105106197	+39.0001281043567
414	V* VY Cyg                          	316.0693189162379	+39.9722511680268
415	EM* VES 316                        	316.5960839518442	+39.8856318802491
416	IRAS 20583+3928                    	315.0593161019251	+39.6731085446407
417	IRAS 20587+3838                    	315.1741098251366	+38.8334877580688
418	NSV 13523                          	316.3125	+38.6200
419	NSV 25426                          	315.15892	+38.64219
420	V* V2050 Cyg                       	313.8567600484767	+39.3955710628569
421	BD+40 883                          	315.0224542059800	+40.0701900005597
422	V* WZ Cyg                          	313.278571	+38.827769
423	NSV 25400                          	313.7829871945567	+38.6288987185063
424	1RXS J205523.3+383232              	313.8475	+38.5422
425	V* V2480 Cyg                       	316.0245459135072	+39.5498733320242
426	Mis V0362                          	315.2121694184418	+40.5117315906973
427	NSV 13547                          	316.7398133001119	+39.2058039659101
428	Mis V0105                          	314.2638314813204	+39.2809480760746
429	BD+40 4430                         	317.6388039563287	+41.1783094088847
430	V* V2486 Cyg                       	319.2476504339865	+40.3324194729979
431	V* V1234 Cyg                       	318.2064818970370	+41.3911824821060
432	V* V1223 Cyg                       	316.1786730638479	+41.2125494271628
433	V* V1067 Cyg                       	319.7010358121914	+41.0000293367165
434	V* V572 Cyg                        	317.2529572583245	+41.2004958296257
435	V* V533 Cyg                        	320.2635063647094	+40.6405937434996
436	V* V1801 Cyg                       	316.1890970700151	+40.8272692840632
437	V* V1802 Cyg                       	316.5569768887646	+40.5418057535074
438	V* V1806 Cyg                       	317.2036082990148	+40.3752172611758
439	HD 201937                          	317.9032804058670	+40.0366385109060
440	V* V529 Cyg                        	318.2477013023863	+40.1436468872747
441	V* V1983 Cyg                       	318.2964722123384	+40.1903392384087
442	V* V2482 Cyg                       	316.9147782912497	+40.6670814835409
443	V* V1798 Cyg                       	315.37083	+40.68056
444	HD 201212                          	316.7136444587443	+40.3196309471227
445	V* V1222 Cyg                       	315.7578525358122	+40.4146438014912
446	IRC +40472                         	317.5802678628722	+39.6747816679604
447	V* V1665 Cyg                       	319.8357989314068	+40.9654161059647
448	V* V1664 Cyg                       	317.7890720873280	+39.5563742750234
449	V* V2781 Cyg                       	317.9455242516096	+40.5873729553125
450	EM* VES 322                        	318.1994342224342	+41.3575371153210
451	CGCS 5196                          	318.3962025451423	+41.4845694963392
452	V* V528 Cyg                        	317.9031469322471	+41.8609806750172
453	BD+41 4064                         	319.0400314432193	+42.5409278583332
454	V* V1068 Cyg                       	320.1380162688425	+42.2774883962402
455	V* V604 Cyg                        	320.9566272793123	+42.8012889536923
456	V* V603 Cyg                        	320.9358555870755	+42.4866213328323
457	V* V593 Cyg                        	319.7911738162557	+42.6383088572804
458	V* V535 Cyg                        	320.3468188277000	+42.2370785061358
459	V* YY Cyg                          	320.6196155705174	+42.3962410696836
460	V* V1071 Cyg                       	320.7101762909872	+42.3560508532620
461	Case 645                           	319.0917735471513	+42.2888128174235
462	V* V1337 Cyg                       	321.1181528992691	+42.6260731849655
463	V* V1075 Cyg                       	322.32833	+42.31992
464	V* V2152 Cyg                       	320.3730791936789	+41.8994329909134
465	V* V602 Cyg                        	320.9000345439144	+41.5531859506804
466	V* V596 Cyg                        	320.4067705796660	+41.6814041982350
467	V* BH Cyg                          	319.7401376588649	+41.8936227983269
468	V* V1808 Cyg                       	319.1370112175219	+41.9103811451910
469	V* V611 Cyg                        	322.3426129338837	+41.9379178124358
470	V* V607 Cyg                        	321.7176512600074	+41.6509128170384
471	V* V1074 Cyg                       	321.5762376562026	+42.1337726766749
472	V* V1725 Cyg                       	322.4826898229039	+41.7622549166714
473	V* V1933 Cyg                       	321.2251570214369	+40.7107272042152
474	IRAS 21212+4246                    	320.7996352224594	+42.9908819468931
475	IRAS 21271+4107                    	322.2823351062733	+41.3441199649798
476	IRAS 21290+4110                    	322.7546720312964	+41.4021152177606
477	V* V2069 Cyg                       	320.9367561621311	+42.3004539414795
478	V* V1722 Cyg                       	320.5380998569568	+42.1420300271959
479	HD 203731                          	320.7131242025366	+40.6972421785864
480	V* V1069 Cyg                       	320.2931643915991	+40.9159299383597
481	V* V386 Cyg                        	318.6684747992317	+41.7163456117441
482	V* V1070 Cyg                       	320.7025238755719	+40.9325466304583
483	V* V2065 Cyg                       	318.3762537694920	+41.9067745895325
484	NSV 13636                          	319.2257900610905	+41.5655695729200
485	V* V1562 Cyg                       	321.1417316025300	+42.9997702079128
486	V* V597 Cyg                        	320.5063691196446	+42.8474084045868
487	V* V1565 Cyg                       	321.8844754699761	+42.6918257172194
