EID	aperture	FoV	pixel_scale	tracking_accuracy	limiting_magnitude	elevation_limit	mount_type	camera_type_colored_mono	camera_type_cooled_uncooled	Johnson_B	Johnson_V	Johnson_R	SDSS_u	SDSS_g	SDSS_r	SDSS_i	SDSS_z
58	9.835143782284840	59.77440211445710	2.0764445165911500	0.7924002295545090	11.348853229162700	22.642608595191000	fork	mono	cooled	y	y	y	y	y	y	y	y
59	6.966683771951760	579.8797491028470	0.8938591310718200	0.2365357036523130	23.19765977341620	28.971747443444900	theodolite	mono	cooled	y	n	y	y	y	y	n	y
60	8.412473643405390	368.7590827531460	1.1940750522019600	0.42665369372715100	14.273429578603500	16.229454926341500	fork	colored	cooled	y	y	y	n	y	y	y	y
61	4.683619967281100	44.546556427282000	1.621872642562580	0.3013529741859420	13.867528929538600	12.769844718355700	fork	mono	cooled	y	n	y	n	y	n	n	y
62	6.55780909823776	409.36008201902500	0.3330876594698510	0.8402875103193960	21.301691123824900	20.41439119750620	theodolite	mono	cooled	y	y	y	n	y	y	y	y
63	2.850036903121810	147.0084992135580	2.66966857017603	0.6939896277995130	20.045506806780800	31.459488900711300	fork	mono	cooled	y	y	y	y	n	y	n	y
64	6.70306057011066	574.0211235103150	2.9036102081327700	0.5631000264352660	16.557498174410300	31.92390889759280	german	colored	cooled	y	n	y	y	y	y	y	y
65	9.178166395607300	234.68612036317200	1.548376497830790	0.6378829516025570	15.067360821851300	12.57471752023220	fork	colored	cooled	y	y	y	y	y	y	y	y
66	3.878672659556960	74.83872555957360	2.9741130348761400	0.3032261493790150	8.261927144413470	14.156207269153500	theodolite	colored	cooled	n	n	y	n	y	y	y	n
67	8.160496242333990	307.21296714943400	2.4414112207988400	0.6809326164259440	9.15135684183084	31.54367939334500	german	mono	cooled	y	n	y	y	y	y	y	y
68	4.5463748080870600	254.86650009790300	2.1841467607706700	0.9386558279533550	18.39066993151530	29.46332826654480	fork	colored	cooled	y	y	n	y	y	y	y	y
69	2.5107375070788600	550.2703220474010	2.8311866516475300	0.3206678448457930	19.67078438591560	17.904829570066000	fork	mono	cooled	y	y	n	n	y	y	n	y
70	4.460624820740400	103.49634399454000	2.3569707931207900	0.25323956139909500	13.352393112998600	14.939099644057200	fork	colored	cooled	y	y	y	n	y	y	y	y
71	8.468605022862540	131.87784953968200	1.317272238803260	0.48608627963340000	13.381741278280200	16.711557757878600	fork	colored	cooled	n	y	y	y	y	n	y	n
72	4.170785991750380	503.45578782590400	1.8990297573774500	0.5314335585583830	21.945794388052300	34.140151465705300	german	mono	cooled	n	y	y	n	y	y	y	y
73	0.14084774161735300	80.48848762903940	2.098124947589420	0.9257267391849060	18.11942786976320	21.7387610052064	fork	colored	cooled	y	y	y	y	y	n	y	y
74	8.859277060212320	5.027973537376940	2.712756220860160	0.5274573283636140	17.274982200343900	33.633043603693100	fork	mono	cooled	y	y	n	y	n	y	y	y
75	8.94431805768809	420.03263640327500	2.82838604449858	0.6259828158095520	11.602668851052600	21.03367109999530	german	mono	cooled	y	y	y	n	y	n	n	y
76	7.811353290866120	387.9464798026980	0.13738977441969800	0.9817783552490830	21.380208671111700	27.4267445455272	german	mono	cooled	y	y	y	n	y	y	y	n
77	6.6699294273085500	450.8423122393100	2.456255770275960	0.4180070751686240	20.851650057681800	26.706979726008500	theodolite	mono	cooled	y	y	y	y	y	y	y	y
78	7.964018567036700	198.67033244158500	1.0314291427542200	0.44467394394849800	9.161306725918640	27.109591015947500	fork	colored	cooled	y	y	y	y	n	y	y	y
79	3.8553122284514500	122.10143988891400	2.4893201374128700	0.659324050258583	14.673370077301700	18.195900701347600	fork	mono	cooled	n	y	y	y	y	y	n	y
80	2.973054076338490	120.9850997778630	0.7802871568658380	0.26522992170097700	24.954740877379400	29.423188615025500	fork	colored	cooled	y	y	y	y	n	y	y	y
81	6.5714434913739500	391.8321510464520	1.410627150831990	0.9949011570510920	17.8882192832111	21.825906158229000	german	mono	cooled	y	y	y	y	y	y	y	n
82	8.055006286930670	323.3177882227600	2.688822404146020	0.9481380112479510	18.003928043798800	33.06335983243910	theodolite	colored	cooled	y	y	y	n	n	y	y	y
83	2.830155108837610	470.695261545847	1.8323276435779700	0.7819167237282710	13.682716186684200	22.215811178007100	theodolite	colored	cooled	n	y	y	y	y	y	y	y
84	8.12030304865608	166.4093536944560	1.2236408215692300	0.9638504395086090	16.558194521456900	34.13623100763390	fork	colored	cooled	y	n	y	y	y	y	n	y
85	8.53095658089719	433.3835830393850	1.4370880875323300	0.37924535182460800	13.753261320447200	27.19041321854330	german	colored	cooled	y	n	y	n	n	y	y	n
86	4.009258756675540	254.58745383356400	2.576966710730110	0.27501326072015600	18.242748263668300	20.676603111144500	fork	mono	cooled	y	n	y	y	y	y	n	y
87	8.729825671963900	228.3620652463470	2.46345640320777	0.23788909210508500	12.058029744802200	20.27022351419130	fork	colored	cooled	y	y	y	n	y	n	y	y
88	6.132020192799360	60.288826015414900	2.0286334864554900	0.7488664960846950	10.67370752270690	20.556983476450000	fork	mono	uncooled	y	n	n	y	y	y	y	y
89	2.423889339791230	458.260526064246	2.272699893335350	0.1546809401564630	23.07042434925010	24.9064219002574	fork	mono	cooled	y	n	y	y	y	n	n	y
90	5.083916300004150	12.206685921367300	1.4194598994407400	0.44210935718733900	19.231213370362000	31.777854377842800	german	colored	cooled	n	n	y	y	y	y	y	y
91	7.268765560155610	532.3545678360510	2.458570123704480	0.14392532762345000	17.738337636047100	28.422662900770000	fork	mono	cooled	y	y	y	y	y	y	n	y
92	8.441420312048780	538.969389823219	0.8010826556931510	0.897491931020477	13.82411642348350	20.823514608456300	fork	mono	cooled	y	y	n	n	y	n	n	y
93	5.871002165088590	389.1324057818700	2.274718616465490	0.17102648501248300	20.617308989972000	31.265420201576800	fork	mono	cooled	y	y	y	y	y	n	n	y
94	6.562894803199910	242.30483852285900	0.9464287094359110	0.7186890705489540	12.327709064125200	33.94209254781570	fork	mono	uncooled	y	y	y	n	y	y	n	n
95	0.6313142600451120	268.80965455301300	2.727808431071930	0.4456892714551560	18.19827000998970	25.843939247551500	fork	mono	cooled	n	y	n	y	y	y	y	y
96	6.344024145429930	195.58990502327200	1.7241350165938500	0.4671574242182110	19.55792320014920	23.082576039051300	theodolite	colored	cooled	n	y	n	y	n	y	y	y
97	2.7648296214307300	188.23742852119600	0.31380299296782100	0.9594181586630230	13.062927515694500	27.310236716182000	fork	mono	cooled	y	n	y	y	y	y	y	n
98	8.103353636709320	73.97082791564710	2.346557044650300	0.23684652190053000	9.249169523583420	30.351833487777300	german	mono	cooled	n	y	y	y	y	n	y	y
99	3.0312608052917300	121.63520966262700	2.9135134232083700	0.8172111524935680	22.301649949666600	28.099934747390200	german	mono	cooled	y	n	y	n	y	n	n	y
100	6.406674158147230	450.536293416806	2.6883986112397200	0.9939482849744220	16.853449819835300	31.104068508404600	fork	colored	uncooled	y	y	y	y	n	y	n	y
101	5.089253405943020	350.54970581300400	0.9348191582024190	0.5603381601374040	13.00341766255000	26.180401741751300	fork	mono	cooled	y	y	y	y	y	y	n	y
102	8.007578662895910	402.1982015851320	2.52539977347824	0.795696834945955	10.671233878330600	23.252427071074200	fork	mono	uncooled	y	y	y	y	y	y	n	y
103	1.5676133494253800	215.97098460825500	2.281988780903640	0.5212932825225040	13.482687231536800	13.08389160346380	fork	colored	cooled	y	y	y	y	y	y	y	y
104	8.82000127051805	80.78979785263820	2.727202036846310	0.6164082733479000	10.629060529381800	12.990273657571500	fork	colored	cooled	n	y	y	y	y	n	y	y
105	7.731693320268070	526.7152514426430	0.6859457585306740	0.5067378090134560	24.06845796508780	19.218650645282400	fork	mono	uncooled	n	n	y	n	y	n	n	y
106	5.396895421303510	454.42317356552400	2.5164395391970400	0.9149008871840570	24.864019754760200	27.97937111642980	fork	mono	cooled	y	y	y	y	y	y	y	n
107	4.881282060101480	8.984942620545590	1.023328430243850	0.25212668076247600	23.851654060412800	32.28950573736850	german	mono	cooled	n	y	y	y	n	n	n	y
108	2.096542079835410	319.3129276820390	0.7114033408656980	0.15232844455997300	16.097587053281500	25.16112919191690	german	mono	cooled	y	y	y	y	y	y	y	n
109	8.184824000413090	42.57608439914520	0.4094848153118930	0.2187426700605170	9.75678901191262	26.313542353304100	theodolite	mono	cooled	y	n	y	y	y	y	y	y
110	3.9723693608262600	163.97944065898000	1.952705766827740	0.4605738380556130	16.244671854677300	34.152825585927200	theodolite	mono	cooled	y	y	y	y	y	n	y	y
111	5.393923755883680	562.2516970696290	1.184197587226220	0.4781793638655420	15.971146292789000	32.7514284326535	german	mono	cooled	y	y	y	y	n	y	n	y
112	7.246144972071780	174.45159274353300	2.379386390268030	0.9977795791908720	9.26162813213331	30.209861242692200	theodolite	mono	cooled	n	y	y	y	n	y	y	y
113	0.27985760026787400	581.4519038433450	1.0419231131865200	0.7526983049368230	8.473911097922220	15.788229248799700	fork	mono	cooled	n	n	n	n	y	n	n	y
114	3.868165205741620	50.515379216212900	1.7437366192089800	0.8407265727625520	15.146313003316900	31.63827928214300	fork	mono	cooled	n	y	y	y	y	y	y	y
115	0.6451266544477240	537.9702666279850	2.7349600613537600	0.674344264351419	13.844822929064400	27.3939976486063	german	colored	cooled	y	y	n	y	y	y	y	y
116	1.9447826293658300	215.0897620715820	0.9500825828838840	0.22866271344228300	9.045146645030720	12.71271899341660	german	mono	cooled	y	y	y	y	n	y	y	y
117	7.637785643573630	193.8390459135650	2.3618058757629400	0.3030413483386360	19.754446040631600	21.28578655056680	fork	mono	cooled	y	y	y	n	y	y	y	y
118	8.704697058518780	133.8743311708800	1.449572885692540	0.7758633477331240	9.145804993387550	24.4584392915218	fork	mono	cooled	y	y	y	y	y	n	y	y
119	8.83729672807053	569.1477220168910	1.169081969877990	0.6600811280092810	21.723133412452200	25.19778494118650	fork	mono	cooled	y	n	y	n	n	y	n	y
120	3.0863457782607300	91.68346076919490	1.6404622734218900	0.8354882274024340	17.573315370041000	17.37710871230640	fork	mono	cooled	n	n	y	n	y	y	y	y
121	8.799943760740450	234.4123217738660	1.8099716294658200	0.34501913607083400	19.180380219795500	33.61501268303420	fork	mono	cooled	y	y	y	y	y	n	y	y
122	7.982521295832220	148.75889879819700	2.719242109021680	0.1973309219983810	19.35338877023930	34.163150367067600	german	mono	cooled	n	y	n	n	n	y	n	y
123	5.210191332522900	118.96520818274400	2.820756393303110	0.665335871842908	20.101735927392800	17.600522814486600	german	mono	cooled	y	n	y	y	y	n	n	y
124	5.536297121879470	423.23099696020600	1.5240522815958900	0.7493386213482830	17.637274154565000	23.452748552823800	fork	colored	cooled	y	n	y	y	y	y	y	y
125	3.888128548399010	118.42325870581800	0.6960368706901410	0.6210258606632490	16.095769923485900	29.538168743567300	fork	colored	cooled	y	n	n	n	y	y	y	y
126	4.728914712285670	414.5712796605510	0.46071556896990800	0.25623952659785400	16.811794366141900	26.324990614398000	theodolite	mono	cooled	y	n	y	n	y	y	y	y
127	2.6782578089034400	111.57467241559200	2.774280625943990	0.9307269070290570	15.17636067211200	32.982864934353500	german	mono	cooled	n	y	n	y	y	y	y	n
128	9.55710889412712	132.74310604550600	0.4262550443768230	0.5463038231645890	14.570629663639200	23.733602440736700	fork	mono	cooled	y	n	y	y	y	y	y	y
129	7.919219319817650	60.830406789526700	0.4229319678069640	0.1289697939907570	19.502568575211300	27.08177966808230	theodolite	colored	cooled	y	y	y	y	y	n	y	n
130	3.3162872206665600	28.72485012576080	1.3815447085694200	0.4042070162981470	16.407705192223400	20.506067276023800	theodolite	mono	cooled	y	y	y	n	y	y	y	y
131	7.836798053188360	572.1085520836500	2.2419318930134500	0.45236667272076600	22.780988827758400	32.441812641037500	theodolite	mono	cooled	y	y	y	y	y	y	y	y
132	2.90735727481618	526.5183218395510	0.7574535756743790	0.9703663825085430	20.011254774483900	34.84933448842850	german	mono	cooled	y	y	y	y	n	y	y	y
133	3.7117746211765200	547.7838151696210	2.161625280254100	0.2849553285418430	17.74468884115270	18.002114670181300	fork	mono	cooled	n	y	y	y	y	y	y	y
134	3.5620599598949800	420.7836792876750	0.7833681108153980	0.5730132751681610	22.493429684937000	15.478594042138000	fork	mono	uncooled	y	y	y	y	n	y	n	y
135	5.486714174927220	573.3530639624020	2.3876810831144200	0.9833301282482090	14.318527353243000	19.865582174450900	fork	colored	cooled	y	y	y	n	y	y	y	n
136	0.12479774723643000	92.60105556845580	1.123790150993920	0.8191301493368560	9.939417948147980	24.35656706137320	german	mono	uncooled	y	y	y	y	y	y	y	y
137	5.211947393000420	50.416623387376600	0.7262608374776860	0.639230346255257	14.943847776572200	27.362169964010900	fork	colored	uncooled	y	y	n	y	y	y	y	n
138	9.704704337451590	26.086044093310000	1.5119800344333600	0.23618582491566700	10.994367855230200	20.761047440309000	fork	mono	cooled	y	y	n	y	y	y	y	y
139	7.932543178422660	404.169153968979	2.454640699287090	0.837441440402841	24.685405306013300	13.70103584660900	theodolite	mono	cooled	y	n	y	n	y	y	y	n
140	9.727609210232130	328.84304680864900	0.5528584281234740	0.9828256196374270	12.821179020801500	34.335202286409300	fork	colored	cooled	y	y	y	y	y	y	y	y
141	1.6861007065743900	59.97729993675730	0.6370620631571760	0.29320413351749000	12.99883103952070	31.927113698316200	german	mono	uncooled	n	y	n	y	y	y	y	y
142	6.438805426997710	468.3587781590620	2.6962848103441600	0.13655227169325100	11.580355589144400	23.114293333765700	theodolite	mono	uncooled	y	y	y	y	y	y	y	y
143	8.403829490443720	344.27247576170400	0.5917639646827870	0.39408540748318800	8.7457686186442	28.197800308410400	fork	mono	uncooled	y	n	y	y	n	y	y	n
144	5.531259853883110	587.0876918619380	0.569382096122101	0.8265490271412640	20.335690644384200	33.59636750710480	fork	mono	cooled	y	n	y	y	y	y	y	y
145	4.4232246570211500	204.83368005628900	0.7306558804089050	0.6625299991286420	21.711669425869800	34.58224386630740	fork	mono	cooled	n	y	n	y	y	y	y	y
146	8.800127501924850	341.11617750176800	1.3700441291405700	0.7541410508336130	22.778589111135300	24.32583384058300	fork	mono	cooled	y	y	y	y	y	y	n	y
147	9.05092431873611	167.7796909614040	2.3031102025679400	0.6617889184525470	10.332798826199100	23.14835553118360	theodolite	mono	cooled	y	y	y	n	y	n	y	y
148	4.796759430543740	296.2999524108930	1.3756663434786200	0.7882115177051190	15.934718428259800	16.02759216226480	fork	mono	cooled	y	y	y	y	y	y	y	y
149	4.709858938673570	299.0153045310620	0.7759392760773050	0.7686285069577220	11.0349063214541	16.011348628606300	theodolite	mono	cooled	y	y	y	y	y	y	y	y
150	4.754634555048090	264.7467553268540	0.16198505007890600	0.5413683687672970	18.964106918736700	30.555716070726300	fork	mono	cooled	n	y	y	y	y	y	y	y
151	7.542860273823760	371.6317252200090	2.229038073586990	0.6236817490711230	8.614549389573250	33.960875605742200	fork	mono	cooled	y	y	y	y	y	y	y	y
152	9.752836793280090	149.89566872755400	1.7975105341383200	0.13509375389913100	11.32544847478570	28.218998680333700	fork	mono	cooled	n	n	y	y	y	y	y	y
153	1.6609932758887100	62.71792356063560	2.2123438246649700	0.3911714826482530	22.51598772544630	18.500954810378600	fork	mono	cooled	y	y	y	y	y	n	n	y
154	4.383322776772760	489.6459563943140	0.925832001646783	0.34291163264463600	19.184154898350700	18.22460303324970	german	mono	cooled	y	y	y	y	y	y	y	y
155	5.463186905454880	32.383568120927300	2.034241728656610	0.20409756416864300	23.69786412417630	24.276043225757700	fork	mono	cooled	y	y	y	y	y	y	y	y
156	2.7671590081991700	90.06939467978250	2.8238498299573200	0.9603634187776670	8.395339471070790	33.35558845067920	german	mono	cooled	y	y	y	y	y	n	y	n
157	5.176072827630340	475.8951596492000	0.2783720328639240	0.9756141094992960	21.232834658259200	13.884210823681500	german	mono	cooled	y	y	y	y	y	n	y	y
158	8.525134380710020	434.51080350535200	2.930700100693590	0.6822961087405170	19.06374391479270	21.600967569917100	fork	mono	cooled	y	n	n	y	n	n	y	y
159	5.597031497170250	453.33648991637300	0.11702582012422100	0.35752048880631000	10.708731373739800	30.113801840529400	german	colored	cooled	y	n	y	y	y	y	y	n
160	6.1034765875474	229.4005801619070	2.3212661648350300	0.2800265546402790	17.208724896048900	33.070779324320000	theodolite	mono	cooled	y	y	y	y	y	y	y	y
161	8.152128452410670	501.1492482421380	2.4393333877724500	0.9966187186089010	16.27167729278260	16.65714866263410	theodolite	mono	cooled	y	y	y	y	y	y	y	n
162	5.005797753562710	196.89065911414200	1.271674860611820	0.9346298641521910	17.265896630775200	15.358993467360500	fork	colored	cooled	y	y	y	y	y	y	n	y
163	7.650355915277970	219.81280838336500	0.7179603323338270	0.20164103279125700	13.292955024223600	23.55566603049390	fork	colored	cooled	y	y	y	y	y	n	y	n
164	4.24776943477042	320.473782665879	2.432903356696830	0.23124957752989000	22.0648523038275	28.73480906693390	fork	mono	cooled	y	y	y	y	y	y	y	y
165	4.617887752202950	33.78196981547480	1.5504164390828900	0.3219721858797920	11.208655264289400	32.00882925184830	german	colored	cooled	y	y	y	y	y	y	n	y
166	6.779074342381690	142.67096807815000	1.1490261293347300	0.3362731401907550	23.565114227021400	13.386547076778600	fork	colored	cooled	y	y	y	y	y	y	n	y
167	8.436703186981970	122.32090886036300	0.1925301904599900	0.7072655872799310	10.697307779528400	28.636878420688100	german	mono	cooled	y	n	y	y	y	y	n	y
168	3.932148374839620	206.69243367875100	1.7098605223492300	0.345530740890708	8.972990511438510	26.420074865325600	fork	mono	cooled	n	y	y	n	y	y	y	y
169	2.0550771876699200	288.6958978528150	2.5956911621131000	0.29845059003679600	18.925779666224400	30.487379254848800	fork	mono	cooled	y	y	y	y	y	y	y	y
170	0.5991919905475190	542.3761529511240	2.2340487692341700	0.8785831692719990	8.666743650875720	23.62726478006440	german	mono	cooled	y	n	y	y	y	y	n	y
171	3.9275879585750500	111.05515124797100	1.3163618005647800	0.8427344845381530	15.17579002305750	15.46898513335900	fork	mono	cooled	y	n	y	y	y	y	y	y
172	4.4802556034433400	341.16830882793500	2.11747431724065	0.10713640077426000	17.256493826139700	23.8967304716902	german	colored	cooled	n	y	y	y	y	y	n	y
173	6.376852009426750	359.0190182429130	0.6029038789744780	0.8465055922505950	12.111658927438300	18.292469009213500	fork	mono	cooled	n	y	y	y	y	n	y	y
174	6.686518096079400	114.35306812713200	2.427092147291910	0.8513375952685440	21.800377679299800	16.529601318867400	fork	colored	cooled	y	y	n	y	y	y	n	n
175	6.039544928127080	60.05040658709840	2.7559652585708100	0.5148383157443900	17.325633006833500	16.855671622414300	german	colored	uncooled	y	y	y	n	y	y	y	y
176	4.711303623397040	94.32860803014130	0.2341333251104610	0.9800717047124390	15.083452391235700	34.1634495935555	theodolite	colored	cooled	y	y	y	y	y	n	y	y
177	2.5176395774083800	210.101658405011	0.9843435033528350	0.3660521330426660	17.322890294165900	34.940585787867100	fork	mono	cooled	y	y	y	y	y	y	y	y
178	1.4325195418638000	278.62859691988400	0.7930083098621630	0.2743237215348220	17.159202534934600	13.561215960921500	fork	colored	cooled	n	y	y	y	y	y	y	y
179	6.974805301948800	261.6922760743740	0.12380627031696500	0.6370475358391340	13.634390333448300	33.3544609470833	fork	mono	cooled	y	n	y	y	y	y	y	y
180	9.665566481792220	580.3415655868170	2.8769946363934200	0.14191104419279100	24.197636618922500	15.318649179091800	german	colored	cooled	y	y	y	y	y	n	y	y
181	8.392804414274730	43.502579532476000	2.0247540632986600	0.8040304553024390	16.89793314809800	23.227359042955100	theodolite	colored	cooled	y	y	y	y	y	n	y	y
182	7.447208065716310	495.2492985192500	2.2604636150669600	0.797975374692319	18.51953668625870	30.9787625819399	fork	mono	cooled	y	y	y	y	y	y	y	n
183	2.9983723532105000	282.8952916469140	1.1937947340872600	0.15658368480466000	9.528170302312520	23.05683750799930	german	colored	cooled	n	y	n	y	y	y	n	y
184	2.8594890828197800	236.99184332379900	0.4598564176156860	0.4892655636350800	10.387444411579500	14.852996276753900	theodolite	mono	cooled	y	y	y	y	y	y	y	n
185	2.724865913186520	393.73200320885100	2.908551460852390	0.5812780322846250	19.908344276756200	28.2195361129775	fork	colored	cooled	y	y	y	y	y	y	y	y
186	9.411120754909740	306.53988473675300	1.7789038101281200	0.15218077067649200	23.324045575901900	21.74518942594550	fork	mono	cooled	n	n	y	y	n	y	y	n
187	5.808039819829360	247.45690177092800	0.8647921003445150	0.7779706461879670	17.90580558273720	18.556215362903600	fork	mono	cooled	n	y	y	y	y	y	y	y
188	0.5287190520228240	280.1408392925110	0.30818352003669800	0.17387769900436600	20.016913228148500	30.246014166684500	fork	mono	uncooled	n	y	y	y	y	y	n	n
189	9.275671339940790	1.6488983952285300	2.689383915195150	0.3016184080054830	23.845352094486200	32.16525599780930	german	mono	cooled	y	n	y	y	y	y	y	n
190	2.0254546582266700	416.3683154255070	0.8492155791279240	0.10985227188428700	20.84711986260920	34.7128332142717	fork	mono	uncooled	n	n	n	y	y	y	y	y
191	8.298488824773500	455.1962473935910	2.675142628818820	0.8056896840699720	17.586788283687300	31.771952608942000	german	colored	cooled	y	y	y	y	y	y	n	y
192	5.432826622387700	381.5652367863810	2.8557711144291700	0.36726143276828600	8.863058421315880	13.671265239944500	fork	mono	cooled	y	y	y	y	y	y	y	y
193	0.21274043217624800	52.558282165619900	1.3708200147746500	0.6315276229349820	15.059009862297600	19.48640970906780	fork	colored	cooled	n	y	y	y	n	y	y	y
194	8.445687976464290	357.97014729833200	0.610319631641051	0.9678587631913140	21.030324800946100	33.291379765600600	fork	mono	cooled	n	y	y	y	y	n	y	y
195	1.0347667698294200	367.41933698379300	2.028487408889160	0.5283498601553410	20.37159605904850	17.987756411505800	theodolite	mono	uncooled	n	y	y	y	n	y	n	y
196	3.9036958015752000	168.181371758692	0.26637623843117300	0.5772254437751890	17.068615003389300	34.094253042070200	german	mono	cooled	y	y	y	y	y	y	y	n
197	2.1994777133350300	210.35817570058100	2.751678992186650	0.6437077390181790	22.978262598863000	15.794412092263000	theodolite	mono	cooled	y	y	y	y	y	n	y	n
198	9.149256687423110	232.3869848469500	1.5961190197042600	0.36324347440923	18.307828381456100	23.819020030142900	german	colored	cooled	y	y	y	y	y	y	n	y
199	4.4722380608794100	527.8656342206630	1.3531998629995700	0.7811711845601310	22.215374437747200	28.32387192018870	fork	colored	cooled	n	y	y	y	y	y	y	y
200	8.113560226661960	269.92862724602700	2.497920076901670	0.15029875487664800	18.892465675388500	25.574508320757400	german	mono	cooled	n	y	y	y	y	y	y	n
201	6.020277804931160	206.90383490395800	1.4053560443552200	0.2498081462695580	21.015312249483500	33.213968710554000	fork	mono	cooled	y	y	y	y	n	y	y	y
