PID,title,project_type,description,aperture_upper_limit,aperture_lower_limit,FoV_upper_limit,FoV_lower_limit,pixel_scale_upper_limit,pixel_scale_lower_limit,mount_type,camera_type_colored_mono,camera_type_cooled_uncooled,Johnson_B,Johnson_V,Johnson_R,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
35,Observe Supernova 7,transient,Observe Supernova 7 56 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,n
36,Observe Exoplanets 15,transient,Observe Exoplanets 15 7 times,30,0,600,1,3,0.1,fork,colored,cooled,n,n,n,y,y,y,y,y
37,Observe Supernova 8,regular,Observe Supernova 8 38 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,n,y,y,y,n
38,Observe Exoplanets 16,regular,Observe Exoplanets 16 67 times,30,0,600,1,3,0.1,german,mono,uncooled,n,n,n,y,y,y,y,y
39,Observe Star 4,regular,Observe Star 4 94 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,y,y,y,y,y,y
40,Observe Supernova 9,regular,Observe Supernova 9 32 times,30,0,600,1,3,0.1,german,mono,cooled,n,y,y,y,y,y,y,n
41,Observe Star 5,transient,Observe Star 5 53 times,30,0,600,1,3,0.1,fork,mono,uncooled,n,y,n,n,y,y,y,y
42,Observe GRB 3,regular,Observe GRB 3 12 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,y,y,y,y,y,n
43,Observe Exoplanets 17,regular,Observe Exoplanets 17 91 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,y,y,y,y,n
44,Observe Supernova 10,transient,Observe Supernova 10 49 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,y,y,y,n,y,y,y
45,Observe Asteriods 3,target_of_opportunity,Observe Asteriods 3 17 times,30,0,600,1,3,0.1,fork,colored,cooled,y,y,y,y,n,y,y,y
46,Observe Exoplanets 18,regular,Observe Exoplanets 18 80 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,y
47,Observe Supernova 11,regular,Observe Supernova 11 70 times,30,0,600,1,3,0.1,fork,colored,cooled,y,n,y,n,n,y,y,y
48,Observe Exoplanets 19,regular,Observe Exoplanets 19 1 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,n,n,y,y
49,Observe Supernova 12,target_of_opportunity,Observe Supernova 12 29 times,30,0,600,1,3,0.1,german,mono,uncooled,n,n,n,n,y,n,y,y
50,Observe Exoplanets 20,target_of_opportunity,Observe Exoplanets 20 71 times,30,0,600,1,3,0.1,fork,colored,cooled,y,y,y,n,y,y,y,n
51,Observe GRB 4,transient,Observe GRB 4 22 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,y,y,y,y,y,y,y,y
52,Observe GRB 5,transient,Observe GRB 5 16 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,n,y,n,y,y,n
53,Observe Supernova 13,regular,Observe Supernova 13 39 times,30,0,600,1,3,0.1,german,colored,cooled,y,y,y,y,n,y,n,y
54,Observe Comet 4,regular,Observe Comet 4 21 times,30,0,600,1,3,0.1,german,colored,cooled,n,y,n,y,y,y,y,y
55,Observe Exoplanets 21,transient,Observe Exoplanets 21 15 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,n,y,y,y,n,y
56,Observe Star 6,regular,Observe Star 6 15 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,n,y,y,y,y
57,Observe Galaxy 6,regular,Observe Galaxy 6 6 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,y,y,y,y,y
58,Observe Supernova 14,transient,Observe Supernova 14 13 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,n,y,n,y,n
59,Observe Supernova 15,transient,Observe Supernova 15 11 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,y,y,y,y,y,y,n
60,Observe Exoplanets 22,regular,Observe Exoplanets 22 57 times,30,0,600,1,3,0.1,theodolite,colored,cooled,y,y,y,n,y,y,y,y
61,Observe Exoplanets 23,regular,Observe Exoplanets 23 41 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,n,y,y
62,Observe Supernova 16,regular,Observe Supernova 16 30 times,30,0,600,1,3,0.1,fork,colored,uncooled,n,y,n,y,y,y,y,y
63,Observe Supernova 17,target_of_opportunity,Observe Supernova 17 85 times,30,0,600,1,3,0.1,german,mono,uncooled,n,y,y,y,y,y,y,y
64,Observe Galaxy 7,regular,Observe Galaxy 7 37 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,y
65,Observe Galaxy 8,regular,Observe Galaxy 8 57 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,n,n,n,y,y,y,y
66,Observe Galaxy 9,target_of_opportunity,Observe Galaxy 9 43 times,30,0,600,1,3,0.1,german,colored,cooled,y,n,y,y,y,y,y,y
67,Observe Exoplanets 24,regular,Observe Exoplanets 24 10 times,30,0,600,1,3,0.1,theodolite,colored,cooled,y,n,y,n,y,n,y,y
68,Observe Exoplanets 25,target_of_opportunity,Observe Exoplanets 25 22 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,n,n,y,y,n,y,y,y
69,Observe Galaxy 10,target_of_opportunity,Observe Galaxy 10 33 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,y,n,y,y,n,y,n,y
70,Observe Comet 5,transient,Observe Comet 5 79 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,n,y,n,y,y
71,Observe Supernova 18,regular,Observe Supernova 18 54 times,30,0,600,1,3,0.1,german,colored,cooled,y,y,y,n,n,y,y,y
72,Observe GRB 6,regular,Observe GRB 6 78 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,y,n,n,y,y
73,Observe Supernova 19,regular,Observe Supernova 19 69 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,n,y,y,n,y,n
74,Observe GRB 7,regular,Observe GRB 7 66 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,n,y,y,y,n,y,y
75,Observe Exoplanets 26,transient,Observe Exoplanets 26 2 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,y,y,y,y,y,n,n,n
76,Observe Asteriods 4,regular,Observe Asteriods 4 63 times,30,0,600,1,3,0.1,theodolite,colored,uncooled,y,y,n,y,n,y,n,y
77,Observe GRB 8,regular,Observe GRB 8 37 times,30,0,600,1,3,0.1,german,mono,cooled,y,n,n,n,y,n,y,y
78,Observe Exoplanets 27,transient,Observe Exoplanets 27 17 times,30,0,600,1,3,0.1,german,colored,cooled,y,y,y,n,y,y,y,y
79,Observe Supernova 20,transient,Observe Supernova 20 90 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,n,n,y,y,n,y,y
80,Observe Exoplanets 28,regular,Observe Exoplanets 28 3 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,y,y,y,n,y
81,Observe Galaxy 11,regular,Observe Galaxy 11 29 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,n
82,Observe Asteriods 5,regular,Observe Asteriods 5 49 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,y,y,y,n,y,y,n
83,Observe Supernova 21,regular,Observe Supernova 21 21 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,y,y,y,n,y
84,Observe Asteriods 6,transient,Observe Asteriods 6 16 times,30,0,600,1,3,0.1,fork,mono,uncooled,n,y,y,n,y,y,y,n
85,Observe Supernova 22,transient,Observe Supernova 22 50 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,n,y,y,y,y,y
86,Observe Asteriods 7,regular,Observe Asteriods 7 62 times,30,0,600,1,3,0.1,fork,mono,cooled,y,n,y,y,y,n,n,n
87,Observe Supernova 23,regular,Observe Supernova 23 38 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,n,y,y,y,y
88,Observe Asteriods 8,target_of_opportunity,Observe Asteriods 8 89 times,30,0,600,1,3,0.1,fork,colored,cooled,y,y,y,y,y,y,y,y
89,Observe Exoplanets 29,regular,Observe Exoplanets 29 31 times,30,0,600,1,3,0.1,fork,colored,cooled,y,n,y,y,y,y,y,y
90,Observe Exoplanets 30,regular,Observe Exoplanets 30 82 times,30,0,600,1,3,0.1,german,colored,cooled,y,y,y,y,n,y,y,y
91,Observe GRB 9,regular,Observe GRB 9 70 times,30,0,600,1,3,0.1,theodolite,colored,uncooled,y,y,y,y,y,y,y,y
92,Observe Star 7,regular,Observe Star 7 93 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,n,y,y,y
93,Observe Asteriods 9,regular,Observe Asteriods 9 84 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,y,n,y,n,y
94,Observe Supernova 24,regular,Observe Supernova 24 95 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,y,n,y,y,y,y,y
95,Observe Star 8,regular,Observe Star 8 7 times,30,0,600,1,3,0.1,fork,colored,cooled,y,y,n,y,y,y,n,y
96,Observe Exoplanets 31,regular,Observe Exoplanets 31 51 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,n,y,n,y,n,y
97,Observe Galaxy 12,transient,Observe Galaxy 12 84 times,30,0,600,1,3,0.1,german,colored,cooled,y,n,y,n,n,n,y,y
98,Observe Star 9,regular,Observe Star 9 42 times,30,0,600,1,3,0.1,fork,mono,cooled,y,n,y,y,y,y,y,y
99,Observe Exoplanets 32,target_of_opportunity,Observe Exoplanets 32 15 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,y,y,y,y,n,n
100,Observe Asteriods 10,regular,Observe Asteriods 10 76 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,y,y,y,y,y,n,y
101,Observe Asteriods 11,regular,Observe Asteriods 11 4 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,y,y,y,n,y,y,n,y
102,Observe Galaxy 13,regular,Observe Galaxy 13 98 times,30,0,600,1,3,0.1,fork,mono,cooled,y,n,y,y,y,y,n,n
103,Observe Galaxy 14,regular,Observe Galaxy 14 40 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,y,n,y,y,y,y
104,Observe Supernova 25,regular,Observe Supernova 25 82 times,30,0,600,1,3,0.1,fork,mono,cooled,n,y,y,n,n,y,y,y
105,Observe Supernova 26,target_of_opportunity,Observe Supernova 26 97 times,30,0,600,1,3,0.1,german,colored,cooled,y,y,y,y,n,y,y,y
106,Observe Star 10,regular,Observe Star 10 2 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,n,y,y,n,y,y,y
107,Observe Comet 6,regular,Observe Comet 6 56 times,30,0,600,1,3,0.1,german,colored,uncooled,y,y,y,y,y,y,y,y
108,Observe Supernova 27,transient,Observe Supernova 27 39 times,30,0,600,1,3,0.1,fork,mono,uncooled,n,y,y,y,n,y,y,y
109,Observe GRB 10,regular,Observe GRB 10 62 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,n,y,y
110,Observe GRB 11,regular,Observe GRB 11 58 times,30,0,600,1,3,0.1,german,mono,cooled,n,y,n,n,y,y,y,n
111,Observe Star 11,transient,Observe Star 11 97 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,y,n,y
112,Observe Exoplanets 33,regular,Observe Exoplanets 33 58 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,y,y,y,y,n,y
113,Observe Comet 7,regular,Observe Comet 7 1 times,30,0,600,1,3,0.1,german,mono,cooled,n,y,n,n,y,y,n,n
114,Observe Supernova 28,transient,Observe Supernova 28 80 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,y,y,y,y,n,n,y,y
115,Observe Star 12,transient,Observe Star 12 57 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,y,n,n,y,y,y
116,Observe Exoplanets 34,regular,Observe Exoplanets 34 80 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,y,y,y,y,n
117,Observe Star 13,regular,Observe Star 13 48 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,n,n,y
118,Observe Exoplanets 35,regular,Observe Exoplanets 35 45 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,n,y,y,y,y,y
119,Observe GRB 12,regular,Observe GRB 12 47 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,y,y,y
120,Observe Supernova 29,regular,Observe Supernova 29 0 times,30,0,600,1,3,0.1,fork,colored,uncooled,n,y,y,y,y,n,y,y
121,Observe Asteriods 12,regular,Observe Asteriods 12 81 times,30,0,600,1,3,0.1,german,mono,uncooled,y,n,y,n,y,y,n,y
122,Observe Exoplanets 36,regular,Observe Exoplanets 36 40 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,y,y,y,n,y,n,y
123,Observe Asteriods 13,regular,Observe Asteriods 13 82 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,n,y,y,y,y
124,Observe Exoplanets 37,regular,Observe Exoplanets 37 72 times,30,0,600,1,3,0.1,fork,colored,cooled,n,y,n,y,n,y,n,n
125,Observe Comet 8,regular,Observe Comet 8 56 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,y,y,y
126,Observe Supernova 30,regular,Observe Supernova 30 94 times,30,0,600,1,3,0.1,theodolite,colored,cooled,n,y,y,y,y,y,y,y
127,Observe Exoplanets 38,regular,Observe Exoplanets 38 92 times,30,0,600,1,3,0.1,fork,mono,cooled,n,y,y,y,y,y,y,y
128,Observe Exoplanets 39,regular,Observe Exoplanets 39 17 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,n,y,y,y
129,Observe Star 14,regular,Observe Star 14 69 times,30,0,600,1,3,0.1,theodolite,mono,cooled,n,n,y,y,y,y,n,y
130,Observe Star 15,regular,Observe Star 15 48 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,y,y,y,y,y,y,y,n
131,Observe Star 16,regular,Observe Star 16 39 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,n,y,y,n,y
132,Observe Star 17,regular,Observe Star 17 39 times,30,0,600,1,3,0.1,theodolite,mono,cooled,n,y,y,y,y,n,y,y
133,Observe Galaxy 15,regular,Observe Galaxy 15 21 times,30,0,600,1,3,0.1,german,colored,cooled,y,y,n,y,y,y,y,y
134,Observe Galaxy 16,target_of_opportunity,Observe Galaxy 16 81 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,y,y,y,n,y,n
135,Observe Galaxy 17,regular,Observe Galaxy 17 65 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,y,y,y
136,Observe Galaxy 18,regular,Observe Galaxy 18 94 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,y,y,y
137,Observe Star 18,transient,Observe Star 18 25 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,n,y,n,n
138,Observe Galaxy 19,regular,Observe Galaxy 19 93 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,y
139,Observe Exoplanets 40,regular,Observe Exoplanets 40 54 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,y
140,Observe Galaxy 20,regular,Observe Galaxy 20 42 times,30,0,600,1,3,0.1,german,colored,uncooled,y,y,y,y,y,y,y,n
141,Observe Exoplanets 41,regular,Observe Exoplanets 41 87 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,y,y,n,n,n,n,y
142,Observe Galaxy 21,target_of_opportunity,Observe Galaxy 21 71 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,n
143,Observe Exoplanets 42,regular,Observe Exoplanets 42 15 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,n,y,y,y,y,y,y
144,Observe Supernova 31,regular,Observe Supernova 31 94 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,n,y,y,y
145,Observe Exoplanets 43,transient,Observe Exoplanets 43 10 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,n,y,y,y,y
146,Observe GRB 13,regular,Observe GRB 13 99 times,30,0,600,1,3,0.1,german,mono,cooled,n,y,y,n,y,y,y,y
147,Observe Asteriods 14,transient,Observe Asteriods 14 71 times,30,0,600,1,3,0.1,fork,colored,cooled,y,y,y,y,y,y,y,y
148,Observe Exoplanets 44,regular,Observe Exoplanets 44 6 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,y,n,y,y,y,y
149,Observe Exoplanets 45,regular,Observe Exoplanets 45 16 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,y,y,n,y,y,n
150,Observe Star 19,transient,Observe Star 19 70 times,30,0,600,1,3,0.1,fork,mono,cooled,y,n,n,y,y,y,y,y
151,Observe Star 20,regular,Observe Star 20 49 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,n,y,y,y,y,n
152,Observe Exoplanets 46,regular,Observe Exoplanets 46 91 times,30,0,600,1,3,0.1,german,colored,cooled,n,y,y,y,y,y,y,y
153,Observe Galaxy 22,regular,Observe Galaxy 22 80 times,30,0,600,1,3,0.1,fork,colored,uncooled,n,y,y,y,y,y,y,y
154,Observe Supernova 32,target_of_opportunity,Observe Supernova 32 68 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,y,y,y,y,y,y,y,y
155,Observe Galaxy 23,transient,Observe Galaxy 23 28 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,y
156,Observe Galaxy 24,transient,Observe Galaxy 24 47 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,y,y,y
157,Observe Star 21,transient,Observe Star 21 64 times,30,0,600,1,3,0.1,fork,colored,uncooled,n,y,y,y,y,y,y,y
158,Observe Exoplanets 47,regular,Observe Exoplanets 47 6 times,30,0,600,1,3,0.1,fork,mono,cooled,n,y,y,y,n,y,y,n
159,Observe Exoplanets 48,target_of_opportunity,Observe Exoplanets 48 61 times,30,0,600,1,3,0.1,fork,mono,cooled,y,n,y,y,n,y,y,y
160,Observe Supernova 33,regular,Observe Supernova 33 30 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,y
161,Observe Star 22,regular,Observe Star 22 71 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,y,y,y,y,y
162,Observe Comet 9,regular,Observe Comet 9 93 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,y,y,n,y,y,y
163,Observe Exoplanets 49,regular,Observe Exoplanets 49 61 times,30,0,600,1,3,0.1,theodolite,colored,cooled,y,y,y,y,n,y,y,y
164,Observe Exoplanets 50,regular,Observe Exoplanets 50 67 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,y,y,y,n,y,y
165,Observe Supernova 34,regular,Observe Supernova 34 38 times,30,0,600,1,3,0.1,theodolite,mono,uncooled,y,y,y,n,n,y,y,n
166,Observe Galaxy 25,regular,Observe Galaxy 25 48 times,30,0,600,1,3,0.1,german,colored,uncooled,n,y,y,y,y,n,y,n
167,Observe Comet 10,regular,Observe Comet 10 4 times,30,0,600,1,3,0.1,fork,mono,cooled,y,n,y,y,n,y,y,y
168,Observe GRB 14,target_of_opportunity,Observe GRB 14 15 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,y,n,y,y,n,y
169,Observe Exoplanets 51,regular,Observe Exoplanets 51 81 times,30,0,600,1,3,0.1,german,colored,uncooled,y,y,y,y,n,y,n,y
170,Observe Exoplanets 52,transient,Observe Exoplanets 52 7 times,30,0,600,1,3,0.1,german,mono,uncooled,y,y,y,y,y,n,y,y
171,Observe GRB 15,regular,Observe GRB 15 67 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,n,y,y,y,y,y
172,Observe Supernova 35,transient,Observe Supernova 35 39 times,30,0,600,1,3,0.1,fork,mono,uncooled,n,y,y,y,y,y,y,y
173,Observe Exoplanets 53,regular,Observe Exoplanets 53 39 times,30,0,600,1,3,0.1,fork,mono,cooled,y,n,y,y,y,y,y,y
174,Observe Supernova 36,regular,Observe Supernova 36 55 times,30,0,600,1,3,0.1,german,colored,uncooled,y,y,y,y,y,y,y,n
175,Observe Galaxy 26,target_of_opportunity,Observe Galaxy 26 94 times,30,0,600,1,3,0.1,fork,mono,cooled,n,y,y,y,y,y,n,n
176,Observe Galaxy 27,transient,Observe Galaxy 27 56 times,30,0,600,1,3,0.1,fork,mono,cooled,y,n,n,y,n,y,n,y
177,Observe Galaxy 28,regular,Observe Galaxy 28 14 times,30,0,600,1,3,0.1,theodolite,colored,uncooled,y,y,y,y,y,n,y,y
178,Observe Star 23,regular,Observe Star 23 63 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,y,y,n,n,y,y
179,Observe Supernova 37,transient,Observe Supernova 37 62 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,n,y,y,y,y,y
180,Observe Supernova 38,regular,Observe Supernova 38 9 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,y,y,y,y,y,y
181,Observe Supernova 39,regular,Observe Supernova 39 36 times,30,0,600,1,3,0.1,fork,mono,uncooled,n,y,y,y,y,n,y,y
182,Observe Galaxy 29,regular,Observe Galaxy 29 93 times,30,0,600,1,3,0.1,fork,mono,cooled,y,y,n,n,y,y,n,n
183,Observe Exoplanets 54,regular,Observe Exoplanets 54 26 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,n,n,y,y,y,y
184,Observe Star 24,transient,Observe Star 24 39 times,30,0,600,1,3,0.1,german,mono,cooled,y,y,n,y,n,y,y,y
185,Observe Exoplanets 55,regular,Observe Exoplanets 55 69 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,y,y,y,y,y,y,y
186,Observe Supernova 40,regular,Observe Supernova 40 63 times,30,0,600,1,3,0.1,theodolite,mono,cooled,y,n,y,y,y,n,y,y
187,Observe Exoplanets 56,regular,Observe Exoplanets 56 52 times,30,0,600,1,3,0.1,fork,colored,uncooled,y,y,y,y,y,y,y,n
188,Observe Star 25,regular,Observe Star 25 12 times,30,0,600,1,3,0.1,fork,colored,cooled,y,y,y,y,n,y,y,n
189,Observe Exoplanets 57,regular,Observe Exoplanets 57 87 times,30,0,600,1,3,0.1,fork,colored,cooled,y,y,y,n,y,y,y,y
190,Observe Supernova 41,regular,Observe Supernova 41 41 times,30,0,600,1,3,0.1,fork,mono,cooled,n,y,n,y,y,n,y,y
191,Observe Exoplanets 58,regular,Observe Exoplanets 58 44 times,30,0,600,1,3,0.1,fork,mono,uncooled,y,y,n,y,n,y,y,y
